iter	MultiClass
0	1.046894944
1	0.9489836191
2	0.8832177249
3	0.8591555622
4	0.8260209908
5	0.8130608151
6	0.7986582295
7	0.7839008518
8	0.7768225956
9	0.7716605998
10	0.7636559584
11	0.7619905113
12	0.756583083
13	0.7530481188
14	0.7504664776
15	0.7483845055
16	0.7473739915
17	0.745174238
18	0.7425603191
19	0.7385753164
20	0.7310562847
21	0.7264158595
22	0.7225511353
23	0.7185692675
24	0.717911838
25	0.7166406593
26	0.715471907
27	0.7117649755
28	0.7079541591
29	0.7058875281
30	0.7035180031
31	0.703162218
32	0.6998348703
33	0.6986100282
34	0.6973411757
35	0.6955523083
36	0.6945354423
37	0.6936784133
38	0.6910933413
39	0.6885388846
40	0.6878235513
41	0.6860331397
42	0.6853142792
43	0.6826826421
44	0.6817276614
45	0.6809877899
46	0.6777005131
47	0.674801315
48	0.67354641
49	0.6690616636
50	0.668719496
51	0.6664443122
52	0.6642822596
53	0.6636054714
54	0.6612891246
55	0.6600405265
56	0.6584736726
57	0.6580200453
58	0.6565877915
59	0.6559834539
60	0.6547060832
61	0.6535283398
62	0.6506591792
63	0.649187721
64	0.6486531058
65	0.6468337053
66	0.6440238578
67	0.6430026657
68	0.6424536491
69	0.6416254477
70	0.6411483743
71	0.6407735188
72	0.6399731564
73	0.6375386287
74	0.6370638171
75	0.6363265424
76	0.6353508717
77	0.6344766566
78	0.6317723386
79	0.6312677011
80	0.6307167194
81	0.6300863534
82	0.6295581474
83	0.6287097918
84	0.6273515663
85	0.6271861851
86	0.6257096253
87	0.6246822561
88	0.6240709165
89	0.6231921645
90	0.6217976813
91	0.6188733958
92	0.6174608129
93	0.6165636685
94	0.6163801783
95	0.6140594613
96	0.6099588197
97	0.6096175156
98	0.6087107505
99	0.6081918977
