iter	Passed	Remaining
0	3	382
1	8	397
2	12	388
3	16	404
4	20	380
5	23	368
6	27	361
7	31	359
8	34	347
9	37	338
10	40	328
11	43	319
12	47	315
13	50	309
14	53	302
15	57	300
16	61	300
17	64	295
18	68	291
19	72	288
20	75	285
21	79	283
22	83	278
23	87	276
24	90	271
25	94	268
26	97	263
27	100	258
28	103	252
29	106	247
30	110	245
31	113	240
32	116	236
33	119	232
34	122	227
35	126	224
36	128	219
37	132	215
38	135	211
39	138	207
40	141	203
41	144	199
42	147	195
43	150	191
44	154	188
45	157	185
46	160	181
47	163	177
48	166	173
49	170	170
50	173	166
51	176	163
52	180	159
53	183	155
54	186	152
55	189	148
56	192	145
57	196	141
58	199	138
59	203	135
60	206	131
61	209	128
62	212	125
63	216	121
64	220	118
65	224	115
66	227	112
67	231	109
68	235	106
69	239	102
70	242	98
71	245	95
72	249	92
73	252	88
74	255	85
75	258	81
76	261	78
77	265	74
78	268	71
79	272	68
80	276	64
81	281	61
82	284	58
83	288	54
84	292	51
85	296	48
86	300	44
87	304	41
88	307	37
89	311	34
90	314	31
91	318	27
92	320	24
93	324	20
94	328	17
95	331	13
96	334	10
97	338	6
98	342	3
99	345	0
