iter	Passed	Remaining
0	140	13890
1	155	7632
2	175	5682
3	195	4691
4	210	4000
5	230	3612
6	251	3345
7	271	3119
8	291	2948
9	310	2796
10	324	2624
11	344	2522
12	357	2395
13	383	2358
14	433	2454
15	462	2428
16	488	2384
17	510	2326
18	536	2288
19	560	2240
20	589	2218
21	620	2198
22	644	2156
23	667	2113
24	687	2062
25	707	2014
26	728	1968
27	754	1940
28	779	1909
29	802	1871
30	818	1821
31	838	1781
32	866	1758
33	893	1734
34	917	1703
35	945	1680
36	978	1666
37	1026	1675
38	1068	1671
39	1101	1651
40	1129	1625
41	1158	1600
42	1183	1568
43	1246	1586
44	1276	1559
45	1307	1534
46	1325	1495
47	1357	1470
48	1421	1479
49	1444	1444
50	1472	1414
51	1498	1383
52	1522	1349
53	1552	1322
54	1586	1297
55	1610	1265
56	1634	1233
57	1667	1207
58	1697	1179
59	1719	1146
60	1742	1114
61	1763	1080
62	1784	1048
63	1807	1016
64	1828	984
65	1852	954
66	1877	924
67	1898	893
68	1919	862
69	1940	831
70	1961	801
71	1986	772
72	2006	742
73	2027	712
74	2048	682
75	2070	653
76	2091	624
77	2113	596
78	2135	567
79	2155	538
80	2176	510
81	2199	482
82	2221	454
83	2241	426
84	2264	399
85	2285	372
86	2309	345
87	2338	318
88	2358	291
89	2380	264
90	2401	237
91	2422	210
92	2445	184
93	2466	157
94	2487	130
95	2511	104
96	2534	78
97	2557	52
98	2578	26
99	2599	0
