iter	Passed	Remaining
0	3	385
1	6	312
2	8	276
3	10	261
4	13	250
5	15	242
6	17	236
7	20	237
8	22	231
9	25	226
10	27	221
11	29	217
12	32	216
13	35	218
14	37	214
15	40	210
16	42	206
17	44	203
18	46	200
19	49	197
20	52	196
21	54	193
22	56	190
23	59	187
24	61	185
25	64	182
26	67	181
27	69	178
28	71	176
29	74	172
30	76	170
31	78	167
32	81	165
33	83	163
34	86	160
35	88	157
36	91	155
37	93	152
38	95	149
39	98	147
40	101	145
41	104	144
42	106	141
43	109	138
44	111	136
45	114	134
46	117	132
47	119	129
48	121	126
49	124	124
50	126	121
51	129	119
52	132	117
53	134	114
54	137	112
55	140	110
56	142	107
57	145	105
58	147	102
59	150	100
60	152	97
61	154	94
62	157	92
63	159	89
64	162	87
65	164	84
66	167	82
67	169	79
68	171	77
69	174	74
70	177	72
71	179	69
72	181	67
73	184	64
74	186	62
75	188	59
76	191	57
77	194	54
78	196	52
79	199	49
80	202	47
81	204	44
82	207	42
83	210	40
84	212	37
85	214	34
86	216	32
87	219	29
88	221	27
89	224	24
90	226	22
91	229	19
92	232	17
93	234	14
94	236	12
95	239	9
96	242	7
97	245	5
98	247	2
99	249	0
